CUSTOMER_ID,INCOME,SAVINGS,DEBT,CLOTHING,EDUCATION,ENTERTAINMENT,FINES,GAMBLING,GROCERIES,HEALTH,HOUSING,TAX,TRAVEL,UTILITIES,EXPENDITURE,GAMBLING_ACTIVITY,HAS_DEBT,HAS_CREDIT_CARD,HAS_MORTGAGE,HAS_SAVINGS_ACCOUNT,HAS_DEPENDENTS,CREDIT_SCORE,HAS_DEFAULTED
C02COQEVYU,33269,0,532304,1889,0,3068,0,1313,4849,320,3006,0,17893,931,33269,High,True,False,False,False,False,444,True
C02OZKC0ZF,77158,91187,315648,5818,0,17244,0,0,5224,467,16339,1973,20234,2845,70144,No,True,False,False,True,False,625,False
C03FHP2D0A,30917,21642,534864,1157,0,3611,36,1201,4335,891,2759,0,16072,855,30917,High,True,False,False,True,False,469,True
C03PVPPHOY,80657,64526,629125,6857,4402,13446,0,7796,4547,2068,12619,1675,25038,2209,80657,High,True,False,False,True,False,559,False
C04J69MUX0,149971,1172498,2399531,1978,0,5194,0,1734,34814,7513,42658,3941,28167,10338,136337,High,True,True,True,True,True,473,False
C04Q46QKOG,181636,339055,1695274,11446,5680,21832,0,0,24778,7429,30650,7889,0,11387,121091,No,True,False,False,True,False,596,False
C069MLDS7X,60881,42617,383550,2658,0,10264,479,0,3207,1947,9741,1411,29482,1692,60881,No,True,False,False,True,False,580,False
C07VC05Z4R,220838,186863,2225362,4383,0,35845,0,0,28124,8873,0,11593,62496,18561,169875,No,True,True,False,True,False,596,False
C0CLKGEG1L,78615,62892,110061,5912,0,23931,0,11716,8023,2793,20089,2668,0,3483,78615,High,True,False,False,True,False,638,False
C0DYD1C2G1,174000,1502729,411273,2831,0,8683,0,2261,45891,6001,51602,4333,24098,12482,158182,High,True,False,True,True,True,636,False
C0E07GT6D1,193225,1410542,2589215,5276,33375,12255,0,0,63812,9627,0,7431,43552,17897,193225,No,True,True,False,True,True,552,False
C0EOQXXNNB,98937,89043,742028,9001,5049,20305,0,9201,5212,2119,14503,2100,28927,2520,98937,High,True,False,False,True,False,538,True
C0F4LCF4BH,14291,207220,20007,1688,0,3616,0,0,4430,2731,0,161,0,1665,14291,No,True,False,False,True,False,624,True
C0FG8K3OV2,166965,400716,678991,5995,3567,13545,0,6519,14778,3498,0,5441,50833,7134,111310,High,True,False,False,True,False,582,False
C0GE5SFY2G,209348,209348,1084801,16933,8987,27164,0,0,9925,3851,25734,3416,89829,4477,190316,No,True,False,True,True,False,602,False
C0H3H2TKKY,82618,859227,132189,1999,0,9371,0,0,12729,9104,0,468,44641,4306,82618,No,True,False,False,True,False,636,False
C0IDR4CM79,56930,404832,56930,1937,0,6961,0,614,8454,2872,14381,383,24453,3200,63255,Low,True,False,True,True,False,651,False
C0IXKYKMRL,35512,17756,273442,5392,3697,11236,0,6627,4058,1246,0,1413,0,1843,35512,High,True,False,False,True,False,548,False
C0JCQCXNXT,0,57923,57923,0,0,0,0,530,876,182,0,0,13223,432,15243,Low,True,False,False,True,False,576,False
C0JKTNB2TD,25301,232310,23001,1130,0,2706,0,0,3839,1256,5600,132,7095,1243,23001,No,True,False,False,True,False,593,False
